key,title,comment,no_sync,rfc,rfc_section,rfc_appendix,cite_url,cite_title,syntax_module,syntax_symbol,argument
ma,,,,7838,3.1,,,,rfc7838,ma,required
persist,,,,7838,3.1,,,,rfc7838,persist,required
