key,title,comment,no_sync,rfc,rfc_section,rfc_appendix,cite_url,cite_title,deprecated,is_json,is_xml,patch
application/mp21,,,,6381,,,,,,,,
application/mp4,,,,4337,,,,,,,,
application/mpeg4-generic,,,,3640,,,,,,,,
application/mpeg4-iod,,,,4337,,,,,,,,
application/mpeg4-iod-xmt,,,,4337,,,,,,,,
application/mrb-consumer+xml,,,,6917,,,,,,,,
application/mrb-publish+xml,,,,6917,,,,,,,,
application/msc-ivr+xml,,,,6231,,,,,,,,
application/msc-mixer+xml,,,,6505,,,,,,,,
application/mxf,,,,4539,,,,,,,,
application/nasdata,,,,4707,,,,,,,,
application/news-checkgroups,,,,5537,,,,,,,,
application/news-groupinfo,,,,5537,,,,,,,,
application/news-transmission,,,,5537,,,,,,,,
application/nlsml+xml,,,,6787,,,,,,,,
application/ocsp-request,,,,6960,,,,,,,,
application/ocsp-response,,,,6960,,,,,,,,
application/octet-stream,,,,2045,,,,,,,,
application/oda,,,,2045,,,,,,,,
application/oebps-package+xml,,,,4839,,,,,,,,
application/ogg,,,,5334,,,,,,,,
application/p2p-overlay+xml,,,,6940,,,,,,,,
application/parityfec,,,,5109,,,,,,,,
application/patch-ops-error+xml,,,,5261,,,,,,,,
application/pdf,,,,8118,,,,,,,,
application/pgp-encrypted,,,,3156,,,,,,,,
application/pgp-keys,,,,3156,,,,,,,,
application/pgp-signature,,,,3156,,,,,,,,
application/pidf+xml,,,,3863,,,,,,,,
application/pidf-diff+xml,,,,5262,,,,,,,,
application/pkcs10,,,,5967,,,,,,,,
application/pkcs7-mime,,,,5751,,,,,,,,
application/pkcs7-signature,,,,5751,,,,,,,,
application/pkcs8,,,,5958,,,,,,,,
application/pkix-attr-cert,,,,5877,,,,,,,,
application/pkix-cert,,,,2585,,,,,,,,
application/pkix-crl,,,,2585,,,,,,,,
application/pkix-pkipath,,,,6066,,,,,,,,
application/pkixcmp,,,,2510,,,,,,,,
application/pls+xml,,,,4267,,,,,,,,
application/poc-settings+xml,,,,4354,,,,,,,,
application/postscript,,,,2045,,,,,,,,
application/ppsp-tracker+json,,,,7846,,,,,,,,
application/problem+json,,,,7807,,,,,,,,
